iter	R2	RMSE
465	0.99888752	1.18481783
466	0.9988898036	1.183601149
467	0.9988909302	1.183000484
468	0.9988929621	1.181916293
469	0.9988944446	1.181124675
470	0.998895981	1.180303656
471	0.998898726	1.178835396
472	0.9989005627	1.177851961
473	0.9989040425	1.175986482
474	0.9989050341	1.175454392
475	0.9989064459	1.174696356
476	0.9989083936	1.173649777
477	0.9989092202	1.173205303
478	0.9989105895	1.172468692
479	0.9989142239	1.170511346
480	0.9989153688	1.169894012
481	0.998916865	1.16908686
482	0.9989187035	1.168094229
483	0.998920601	1.167068853
484	0.9989225664	1.166005874
485	0.9989246997	1.164850987
486	0.9989282588	1.162921596
487	0.9989298807	1.162041354
488	0.9989311915	1.161329402
489	0.9989328151	1.160447032
490	0.9989336771	1.159978227
491	0.9989353762	1.1590537
492	0.9989362318	1.158587878
493	0.9989374552	1.157921449
494	0.9989385597	1.157319478
495	0.9989404405	1.156293673
496	0.9989415138	1.155707877
497	0.9989424042	1.15522169
498	0.9989434062	1.154674326
499	0.9989450665	1.153766744
500	0.9989469294	1.15274759
501	0.9989484556	1.151911977
502	0.9989494953	1.151342342
503	0.9989500995	1.151011219
504	0.9989510145	1.150509519
505	0.9989525981	1.149640779
506	0.9989556625	1.147957759
507	0.9989562709	1.14762335
508	0.9989577746	1.146796337
509	0.9989595485	1.14582002
510	0.9989611688	1.144927447
511	0.9989702332	1.13992144
512	0.9989720383	1.138921883
513	0.998973066	1.138352425
514	0.9989752191	1.137158466
515	0.9989782788	1.135459601
516	0.9989797199	1.134658556
517	0.9989810649	1.133910404
518	0.9989828512	1.132916031
519	0.9989862221	1.131037187
520	0.9989885817	1.129720175
521	0.9989899222	1.12897128
522	0.998991389	1.128151237
523	0.9989948147	1.126233789
524	0.9989954363	1.125885505
525	0.9989974684	1.124746131
526	0.9989994196	1.123651063
527	0.999000791	1.122880794
528	0.9990020463	1.122175197
529	0.9990088277	1.118355971
530	0.9990102793	1.117536716
531	0.9990116694	1.116751646
532	0.9990127385	1.116147445
533	0.9990140998	1.115377677
534	0.9990153262	1.114683743
535	0.999016926	1.113777852
536	0.999018413	1.112935217
537	0.9990199521	1.112062315
538	0.9990208182	1.111570832
539	0.9990215778	1.111139624
540	0.9990220765	1.110856397
541	0.9990236195	1.109979671
542	0.9990251726	1.109096515
543	0.999026514	1.108333158
544	0.9990280959	1.107432317
545	0.9990285775	1.107157883
546	0.9990298315	1.106443023
547	0.9990316254	1.105419633
548	0.9990328973	1.104693471
549	0.9990442509	1.098189832
550	0.9990450644	1.097722393
551	0.9990467566	1.096749329
552	0.9990481749	1.095933151
553	0.9990496797	1.095066463
554	0.9990512213	1.094177924
555	0.9990530492	1.093123368
556	0.9990545889	1.092234325
557	0.9990555119	1.091701043
558	0.9990571066	1.09077901
559	0.9990583856	1.090038986
560	0.999059597	1.089337548
561	0.9990606496	1.088727773
562	0.9990656576	1.085821684
563	0.9990689029	1.083934308
564	0.9990702057	1.083175741
565	0.9990708276	1.082813437
566	0.9990715833	1.082373023
567	0.99907292	1.081593527
568	0.99907519	1.080268547
569	0.9990757918	1.079917002
570	0.9990764523	1.07953104
571	0.9990926833	1.070002856
572	0.999093821	1.06933177
573	0.999095992	1.068050068
574	0.9990975528	1.067127677
575	0.9990983788	1.066639218
576	0.9990998052	1.065795143
577	0.9991011619	1.064991693
578	0.9991019767	1.064508866
579	0.9991032638	1.063745748
580	0.9991039036	1.063366182
581	0.9991051367	1.062634275
582	0.9991065909	1.061770542
583	0.9991088613	1.060420554
584	0.9991132522	1.057804793
585	0.9991139196	1.057406693
586	0.9991151382	1.056679329
587	0.9991158479	1.056255476
588	0.9991180177	1.054958617
589	0.9991187333	1.054530516
590	0.9991201778	1.053665915
591	0.9991211755	1.053068356
592	0.9991240762	1.051329005
593	0.999126246	1.050026025
594	0.9991264449	1.049906489
595	0.9991269921	1.049577634
596	0.9991397174	1.041900044
597	0.9991406453	1.04133795
598	0.9991413754	1.040895519
599	0.9991487036	1.036444102
600	0.9991497132	1.035829299
601	0.9991511359	1.034962372
602	0.9991524459	1.034163477
603	0.9991529631	1.03384788
604	0.9991538422	1.033311235
605	0.9991543352	1.033010166
606	0.9991550453	1.03257639
607	0.9991566587	1.031590124
608	0.9991574758	1.031090215
609	0.9991579828	1.03077996
610	0.9991594284	1.029894728
611	0.9991603357	1.029338772
612	0.9991611938	1.02881265
613	0.9991620677	1.02827661
614	0.9991633075	1.027515612
615	0.9991728776	1.021622333
616	0.9991737141	1.021105578
617	0.9991741927	1.020809841
618	0.9991749104	1.020366145
619	0.9991778671	1.018536251
620	0.9991789555	1.01786185
621	0.9991881292	1.01215949
622	0.9991886414	1.011840136
623	0.9991892492	1.011461064
624	0.9991920348	1.009721966
625	0.9991934119	1.008861113
626	0.999193503	1.008804157
627	0.9991937166	1.008670526
628	0.9991943972	1.008244709
629	0.9991970445	1.006586764
630	0.9991972588	1.006452462
631	0.9991978276	1.006095825
632	0.9991984767	1.005688679
633	0.9991993394	1.005147299
634	0.9991999092	1.004789548
635	0.9992008983	1.004168323
636	0.9992026541	1.003064498
637	0.9992030454	1.002818361
638	0.9992151299	0.9951862844
639	0.9992166319	0.9942335392
640	0.9992171595	0.9938986835
641	0.9992284905	0.9866795219
642	0.9992287813	0.9864935594
643	0.9992317847	0.9845708257
644	0.9992450328	0.976044279
645	0.9992452205	0.9759229695
646	0.9992458026	0.9755465475
647	0.9992463522	0.9751910032
648	0.9992476992	0.9743191612
649	0.9992478888	0.9741963754
650	0.9992485734	0.9737528792
651	0.9992496845	0.9730327076
652	0.9992508029	0.9723072168
653	0.9992519928	0.9715348061
654	0.99925285	0.9709779762
655	0.9992534469	0.970590054
656	0.999254254	0.9700652327
657	0.9992552163	0.9694391463
658	0.9992564487	0.9686367798
659	0.9992601177	0.9662439958
660	0.9992602874	0.966133156
661	0.9992609222	0.9657184957
662	0.9992734072	0.9575269848
663	0.9992745376	0.9567818345
664	0.9992785644	0.9541227631
665	0.9992797446	0.9533420475
666	0.9992803767	0.952923614
667	0.9992809933	0.9525152559
668	0.9992850471	0.9498263183
669	0.9992898417	0.9466360923
670	0.9992904452	0.9462337786
671	0.9992915372	0.945505412
672	0.9992969241	0.9419038675
673	0.9992976431	0.9414221482
674	0.9992987437	0.9406842673
675	0.9993000309	0.9398205144
